(20.620689655172413,0.0),(20.620689655172413,0.0)
(20.620689655172413,0.0),(20.620689655172413,0.0)
(20.620689655172413,0.0),(20.620689655172413,0.0)
(20.620689655172413,0.0),(20.620689655172413,0.0)
(20.620689655172413,0.0),(23.46990568145612,2.140743445357516)
(23.46990568145612,2.140743445357516),(23.46990568145612,2.140743445357516)
(23.46990568145612,2.140743445357516),(24.63844825239496,4.3665226655426705)
(24.63844825239496,4.3665226655426705),(24.63844825239496,4.3665226655426705)
(24.63844825239496,4.3665226655426705),(24.63844825239496,4.3665226655426705)
(24.63844825239496,4.3665226655426705),(25.604027489567137,5.171888260567117)
(25.604027489567137,5.171888260567117),(26.99157698607958,5.459326303700682)
(26.99157698607958,5.459326303700682),(29.912681717685633,5.739006584957137)
(29.912681717685633,5.739006584957137),(29.912681717685633,5.739006584957137)
(29.912681717685633,5.739006584957137),(37.47412010211082,5.593999905291442)
(37.47412010211082,5.593999905291442),(37.47412010211082,5.593999905291442)
(37.47412010211082,5.593999905291442),(43.34767075976897,5.6675156040436265)
(43.34767075976897,5.6675156040436265),(49.755576932295824,5.476493106010586)
(49.755576932295824,5.476493106010586),(55.8535241186185,4.352288315167774)
(55.8535241186185,4.352288315167774),(55.8535241186185,4.352288315167774)
(55.8535241186185,4.352288315167774),(55.8535241186185,4.352288315167774)
(55.8535241186185,4.352288315167774),(58.3151086566853,4.564373365654438)
(58.3151086566853,4.564373365654438),(60.43548575060533,5.808800877192765)
(60.43548575060533,5.808800877192765),(62.21255728898916,8.010252314999484)
(62.21255728898916,8.010252314999484),(63.170454695760995,10.8442323783412)
(63.170454695760995,10.8442323783412),(63.73828915247903,14.204567821615992)
(63.73828915247903,14.204567821615992),(63.73828915247903,14.204567821615992)
(63.73828915247903,14.204567821615992),(63.73828915247903,14.204567821615992)
(63.73828915247903,14.204567821615992),(64.76898992021206,17.1744100873157)
(64.76898992021206,17.1744100873157),(64.76898992021206,17.1744100873157)
(64.76898992021206,17.1744100873157),(66.41126165908551,18.30368936515263)
(66.41126165908551,18.30368936515263),(68.35665657993428,18.62469740334672)
(68.35665657993428,18.62469740334672),(71.29707669635266,18.95609034971112)
(71.29707669635266,18.95609034971112),(71.29707669635266,18.95609034971112)
(71.29707669635266,18.95609034971112),(74.700504235936,19.9898645547212)
(74.700504235936,19.9898645547212),(74.700504235936,19.9898645547212)
(74.700504235936,19.9898645547212),(74.700504235936,19.9898645547212)
(74.700504235936,19.9898645547212),(76.04265293075474,21.21375800079873)
(76.04265293075474,21.21375800079873),(75.8155006823824,22.947687839089223)
(75.8155006823824,22.947687839089223),(74.85243452209369,24.41278146128126)
(74.85243452209369,24.41278146128126),(74.85243452209369,24.41278146128126)
(74.85243452209369,24.41278146128126),(74.85243452209369,24.41278146128126)
